update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
132,405504,536.4,3.84,1.89,49,522.7142857142857,0.0,0.32653061224489793,454.18367346938777,0.0,-0.00111,11.23431,1.03249,0.00657,0.06763,0.70407,769.6
133,408576,544.2,3.67,1.97,42,562.7619047619048,0.0,0.40476190476190477,491.6666666666667,0.0,-0.00369,11.31552,0.98187,0.00468,0.03467,0.72418,775.2
134,411648,527.3,3.86,1.97,54,527.7962962962963,0.0,0.3333333333333333,458.537037037037,0.0,-0.00232,8.91454,1.04132,0.00549,0.04972,0.8061,781.1
135,414720,562.2,3.64,1.83,39,631.3333333333334,0.0,0.358974358974359,559.2564102564103,0.0,0.00342,12.64398,1.05188,0.01565,0.18807,0.75137,786.5
136,417792,512.5,3.68,2.31,49,585.6122448979592,0.0,0.3877551020408163,515.4285714285714,0.0,-0.00022,10.7201,1.07359,0.00646,0.06982,0.72198,792.5
137,420864,542.0,3.69,1.98,47,504.40425531914894,0.0,0.2978723404255319,435.27659574468083,0.0,-0.0034,9.1922,1.02427,0.00519,0.04663,0.69353,798.2
138,423936,536.4,3.76,1.96,46,577.1304347826087,0.0,0.6086956521739131,507.10869565217394,0.0,-0.00206,12.67601,1.0057,0.00409,0.04395,0.67417,803.9
139,427008,553.6,3.54,2.01,42,528.9761904761905,0.0,0.5476190476190477,458.1190476190476,0.0,0.00265,7.20842,1.07743,0.01795,0.21118,0.75503,809.5
140,430080,541.3,3.7,1.98,40,617.275,0.0,0.55,544.6,0.0,0.00306,11.91499,1.04226,0.00963,0.12199,0.69686,815.1
141,433152,531.1,3.88,1.9,50,537.72,0.0,0.32,468.86,0.0,0.00061,10.83077,1.07496,0.00492,0.03719,0.67787,820.9
142,436224,518.6,3.92,2.01,48,508.9583333333333,0.0,0.16666666666666666,440.3541666666667,0.0,-0.00213,10.05637,1.04424,0.00379,0.03532,0.74993,826.9
143,439296,537.2,3.78,1.94,47,577.7659574468086,0.0,0.48936170212765956,507.4255319148936,0.02127659574468085,-0.0043,12.01104,1.03191,0.00797,0.08187,0.77638,832.6
144,442368,526.7,3.7,2.13,44,544.25,0.0,0.5454545454545454,474.3636363636364,0.0,-0.00213,12.08912,1.09384,0.00491,0.05884,0.61432,838.4
145,445440,543.3,3.67,1.99,56,525.7678571428571,0.0,0.32142857142857145,455.89285714285717,0.0,-0.00297,13.08242,1.14685,0.00564,0.059,0.67578,844.1
146,448512,563.5,3.6,1.85,38,584.7631578947369,0.0,0.47368421052631576,514.9473684210526,0.0,0.00175,15.00263,1.08032,0.00707,0.09383,0.62529,849.5
147,451584,553.2,3.58,1.98,35,704.0571428571428,0.0,0.6285714285714286,628.0,0.0,-0.00361,9.79937,1.17751,0.00641,0.06974,0.68502,855.1
148,454656,543.2,3.7,1.95,52,567.9615384615385,0.0,0.38461538461538464,498.3269230769231,0.0,-0.00218,11.80038,1.16126,0.00664,0.06527,0.67269,860.7
149,457728,546.3,3.67,1.95,47,535.8297872340426,0.0,0.46808510638297873,466.8723404255319,0.0,-0.00075,9.13723,1.15087,0.00668,0.07731,0.71948,866.3
150,460800,538.8,3.71,1.99,45,590.4888888888889,0.0,0.4444444444444444,519.2888888888889,0.0,0.00189,12.34906,1.16649,0.00575,0.05477,0.69583,872.1
151,463872,533.0,3.74,2.03,44,546.6818181818181,0.0,0.75,477.6136363636364,0.0,-0.00254,12.95632,1.17973,0.00482,0.05404,0.66819,877.8
152,466944,516.7,4.0,1.94,51,580.5294117647059,0.0,0.47058823529411764,510.05882352941177,0.0,-0.00062,12.09262,1.22903,0.00293,0.03369,0.75345,883.8
153,470016,550.1,3.6,1.99,44,538.5227272727273,0.0,0.2727272727272727,468.72727272727275,0.0,-0.00173,11.97078,1.24858,0.00716,0.0835,0.5808,889.3
154,473088,529.1,3.85,1.96,48,573.2083333333334,0.0,0.2708333333333333,502.4791666666667,0.0,0.00303,13.53831,1.253,0.00831,0.09652,0.62444,895.2
155,476160,529.1,3.82,1.99,57,452.6842105263158,0.0,0.40350877192982454,386.05263157894734,0.0,-0.00051,11.26587,1.3039,0.0081,0.09025,0.73088,901.0
156,479232,526.7,3.75,2.08,39,652.6923076923077,0.0,0.9487179487179487,579.4358974358975,0.0,0.0005,8.37284,1.25309,0.00663,0.07951,0.7294,906.9
157,482304,486.3,4.21,2.11,39,579.0769230769231,0.0,0.5384615384615384,508.46153846153845,0.0,-0.00212,6.99943,1.24862,0.00797,0.10474,0.78929,913.2
